,Review,Subtheme_1,Sentiment_1,Subtheme_2,Sentiment_2,Subtheme_3,Sentiment_3,Subtheme_4,Sentiment_4,Subtheme_5,Sentiment_5,Subtheme_6,Sentiment_6,Subtheme_7,Sentiment_7,Subtheme_8,Sentiment_8,Subtheme_9,Sentiment_9,Subtheme_10,Sentiment_10,Subtheme_11,Sentiment_11,Subtheme_12,Sentiment_12,Subtheme_13,Sentiment_13,Subtheme_14,Sentiment_14,Subtheme_15,Sentiment_15,Subtheme_16,Sentiment_16,Subtheme_17,Sentiment_17,Subtheme_18,Sentiment_18,Subtheme_19,Sentiment_19,Subtheme_20,Sentiment_20,Subtheme_21,Sentiment_21,Subtheme_22,Sentiment_22,Subtheme_23,Sentiment_23,Subtheme_24,Sentiment_24,Subtheme_25,Sentiment_25,Subtheme_26,Sentiment_26,Subtheme_27,Sentiment_27,Subtheme_28,Sentiment_28,Subtheme_29,Sentiment_29,Subtheme_30,Sentiment_30
4257,"Very good price, excellent fitting service in Bletchley",good price excellent fitting service Bletchley,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,The service i received from the garage that fitted my tyres was outstanding.,service receive garage fit tyre outstanding,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4259,Staff really professional and friendly,staff professional friendly,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4260,Good prices and easy website to choose. Also lots of locations to choose from for fitting.,good price easy website choose,positive,lot location choose fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4261,Great prices with a good range of tyres,great price good range tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262,"Every part of the process was quick and efficient, and great value too.",part process quick efficient great value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4263,Choice value and service,choice value service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4264,"Efficient, friendly service, good prices and all inclusive.",efficient friendly service good price inclusive,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4265,Your third party operative who was meant to come and fit the tyre let me and you down three times at which point I cancelled the order!,third party operative mean come fit tyre let time point cancel order,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4266,"Good prices, easy to use website",good price easy use website,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4267,The tyres were fitted by the garage at an incorrect tyre pressure. The next day my warning lights came on and I had to resolve the issue whilst on a long journey with my family.,tyre fit garage incorrect tyre pressure,negative,next day warning light come have resolve issue long journey family,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4268,"Easy procurement, delivery & fitting.",easy procurement delivery fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269,"Easy to use website, good pricing and well organised ordering / fitting arrangements.",easy use website good pricing organise order fitting arrangement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4270,Whole process was easy and cost effective,whole process easy cost effective,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4271,Although your company were very good the service I was given at the garage was the worse ive ever received.,company good service give garage bad receive,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4272,"I booked a slot that later could not be honoured and I had to rebook for a week later. When at ATS their system had my name, address and telephone as the order number and I had to show them my booking email to prove I had made the booking.",book slot honour have rebook week,negative,ATS system have name address telephone order number have show book email prove make booking,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4273,Garage,garage,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4274,Used before. And local fitting station and personnel good and reliable pleasure to do business with always go the extra mile,use,negative,local fitting station personnel good reliable pleasure do business go extra mile,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4275,Great value & came recommended.,great value recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4276,"You do exactly what you promise to do, and I am very happy with your choice of local garage/fitter who seem extremely competent. (Richard Beaver, Minehead).",do promise do happy choice local garage fitter seem competent,positive,Richard Beaver Minehead,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4277,Great service with practical solutions and a good choice of fitters in my local area,great service practical solution good choice fitter local area,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4278,Great service and value for money,great service value money,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4279,I have use d [REDACTED] to purchase tyres on three occasions having them fitted at two different [REDACTED] appointed centres. At both centres I was received as a valued customer and my tyres fitted promptly and efficiently. I shall continue to buy my tyres from [REDACTED] and expect to be as satisfied then as now.,use,negative,purchase tyre occasion have fit different appoint centre,negative,centre receive value customer tyre fit,negative,continue buy tyre REDACTED expect satisfied,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4280,"Used [REDACTED] before, great choice at reasonable prices.",use great choice reasonable price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4281,"Generally good, quick and easy service but had 4 new tyres fitted and told after tracking needed looking. Slight wobble on fronts when driving and having to go elsewhere to get sorted",good quick easy service have new tyre fit tell track need look,positive,slight wobble front drive have go sort,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4282,I have always had great service through [REDACTED] and the fitting service at Hipwell Motors and have recommended them to anyone who mentions tyre replacement,have great service REDACTED fitting service Hipwell Motors recommend mention tyre replacement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4283,Very good price and service easy and straightforward,good price service easy straightforward,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4284,Excellent service and the fitter was very good.,excellent service fitter good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4285,"Easy to find correct tyres prior to booking,excellent service once on site.",easy find correct tyre booking excellent service site,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4286,Competitive price and excellent service,competitive price excellent service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4287,the price and service of local garage,price service local garage,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288,"Good quality tyres, easy to order, choice of garage to fit tyres and choosing appointment time.",good quality tyre easy order choice garage fit tyre choose appointment time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4289,"Good price and service, guys at silverburn were great.",good price service guy silverburn great,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4290,"Good value, prompt service",good value prompt service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4291,"Good price, availability of fitting options, great communications, very simple for first online tyre purchase",good price availability fitting option great communication simple first online tyre purchase,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4292,Easy process and fitting partner was excellent,easy process fitting partner excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4293,It was easy to buy the tyres and the garage I went to were excellent,easy buy tyre garage go excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4294,The tyres were the best value around after comparing prices the texts and emails kept me informed of the date and time of fitting at my local [REDACTED] dealer.,tyre good value compare price text email keep inform date time fit local REDACTED dealer,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4295,Well priced and easy to use.,priced easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4296,Excellent service from ordering to fitting in Ellon.,excellent service order fitting Ellon,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4297,Great garage. Simple ordeing process. PaInless.,great garage,positive,simple ordeing process,negative,PaInless,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4298,Competitive pricing,competitive pricing,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4299,Very easy to deal with & goods value for money,easy deal good value money,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,Think I had a good deal ... Well organised and fitted locally - went well. Great system to buy tyres from your armchair,think have good deal,positive,organise fit go,negative,great system buy tyre armchair,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4301,The chap was very nice and did a great job,chap nice do great job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,"Good price, simply booking with good reminder service",good price book good reminder service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4303,Good deal on the tyres and everything was ready when I arrived at garage.,good deal tyre ready arrive garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304,Could not rate highly enough.,rate,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4305,because it saved money and was simple to do,save money simple do,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306,The two guys were in early for my appointment and did the job in a super quick time. They even had advice worth noting for later in the tyres life.,guy early appointment do job super quick time,positive,have advice worth note tyre life,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4307,very efficient. On time (even early).,efficient,positive,time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4308,"They changed the tires and tracked the car, the wheels were aligned however the steering was offset which was annoying. i had to take the car to a garage near home in the weekend to correct. staff are polite however they need to take a bit more time checking over the work they have carried out",change tire track car wheel align steering offset annoying,negative,have take car garage home weekend correct,positive,staff polite need take bit more time check work carry,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4309,"Previous purchase history and I had an issue checking out this time so I couldn't buy with the 10% discount but I emailed you and your customer service team sent me another 10% discount code that I used to but my four new tyres. Thanks. HiQ also very good, Keith who runs it is a very polite and professional gent who runs a good team",previous purchase history have issue check time,negative,buy % discount,negative,email customer service team send % discount code use new tyre,positive,thank,positive,good Keith run polite professional gent run good team,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4310,Process good but awaiting investigation inyo customer service of tyre fitters,process good await investigation inyo customer service tyre fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4311,"Hard to beat. Wide selection of tyres, easy ordering process, good prices",beat,negative,wide selection tyre easy ordering process good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4312,Excellent service. Excellent customer service and easy to use,excellent service,positive,excellent customer service easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4313,Excellent customer service would recommend for quality and price.,excellent customer service recommend quality price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4314,Could not have been easier or nicer about me changing my order 3 times - refunded me immediately and sorted it all out smoothly. I will definitely be using them next time,easy nice change order time refund sort,positive,use next time,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4315,Web site was easy to navigate the appointment was made very quickly and more importantly I saved £40,web site easy navigate appointment make save,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316,easy to deal with tyres fitted where I chose,easy deal tyre fit choose,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4317,No communication. [REDACTED] informed Garage i has requested a refund however failed to tell me they had received my request which resulted in me taking the car in. Tyres fitted as garage Spoke to [REDACTED] to see if they could go ahead and do job. I then received a call to say refund had gone through and I owed money.,communication,negative,inform Garage request refund fail tell receive request result take car,negative,tyre fit garage Spoke REDACTED see go do job,negative,receive call say refund go owe money,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4318,Excellent service and great selection of tyres at reasonable prices.,excellent service great selection tyre reasonable price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4319,Quick and easy website and efficient fitting,quick easy website efficient fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4320,Low price compare with the competitors.,low price compare competitor,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321,"Always a competitive rate, great brands for new tyre and plenty of fitting options. [REDACTED].com has been very reliable website for me to go tyre shopping.",competitive rate great brand new tyre plenty fitting option,positive,reliable website go tyre shopping,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4322,"Save money save time. Save money, saved time, great service",save money save time,negative,save money save time great service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4323,"Price, efficiency, value.",price efficiency value,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4324,"Easiest Way to buy tyres. All went well , even made aware there could have been a 'ring' in existing tyre but tyre depot checked and there wasn't one! Chunky tread on tyres - see if they do the 50k plus miles the previous ones did !!Thanks Black Curcle.",easiest way buy tyre,negative,go make aware ring exist tyre tyre depot check be,positive,chunky tread tyre see do 50k mile previous one do,negative,thank Black Curcle,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4325,"Great service, easy website to navigate, good pricing",great service easy website navigate good pricing,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4326,Flexibility and price,flexibility price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4327,Fantastic value and easy to use.,fantastic value easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4328,very competitive and efficient service from start to finish,competitive efficient service start finish,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4329,"Fast, reliable and with excellent prices.",fast reliable excellent price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4330,I had time and option to choose exactly the tyres I wanted on line but with having them fitted by a choice of local and known companies,have time option choose tyre want line have fit choice local know company,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4331,"Brilliant service, kept up to date when and choice of garages to be fitted. Very good price for decent tyres. Definitely use again, would not have beat this price and service.",brilliant service keep date choice garage fit,positive,good price decent tyre,positive,use beat price service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332,when choosing tyres to purchase value or quality range should give names of tyre makes,choose tyre purchase value quality range give name tyre make,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4333,"Great tyres, great service.",great tyre great service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4334,"Excellent price, garage close to me, turned up and didn’t have to wait.",excellent price garage turn have wait,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4335,"Having chose [REDACTED] due to being able to have my tyre fitted on a specific day, I booked and paid for this, only to receive an email informing me the garage could not actually fit on this day, and I had to wait a further 4 days.",choose REDACTED able have tyre fit specific day book pay receive email inform garage fit day have wait further day,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4336,Easy to order had exactly what I wanted and a good price,easy order have want good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4337,"Quick service, reliable, friendly,",quick service reliable friendly,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4338,service was great and easy to order with you,service great easy order,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4339,Competitive prices and very convenient to use!,competitive price convenient use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4340,Because they good great deals,good great deal,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4341,Cheapest price by miles. Easy to use.,cheap price mile,negative,easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4342,Good service good price,good service good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343,"Good prices, problem free ordering, good choice of tyres.",good price problem free ordering good choice tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4344,I have used [REDACTED] . 3 I have used [REDACTED].com 3 times for my tyres with 3 different cars I thought they gave a very great service very helpful thanks. A barnard,use REDACTED,negative,use redacted].com time tyre different car think give great service helpful thank,positive,barnard,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4345,Good prices with plenty of local fitters to chose from. Efficient and easy to use online site.,good price plenty local fitter choose,positive,efficient easy use online site,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4346,Easy to order,easy order,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347,Greate prices quick service all price included,greate price quick service price include,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4348,Not impressed by garage,impressed garage,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,Delivery date has been modified twice as there was no available tyres on stock which caused me an serious issue with my holiday booking!!!,delivery date modify be available tyre stock cause serious issue holiday booking,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4350,"The service was easy to use, reasonably priced, and the ATS staff friendly and professional.",service easy use price ATS staff friendly professional,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4351,"Very easy to purchase the correct tyres, buy with confidence; and select our trusted garage.",easy purchase correct tyre buy confidence select trust garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4352,"Simple to use, excellent value and convenient fitting",simple use excellent value convenient fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4353,"Used you before, best prices, best technicians, what more does any one want????",use good price good technician more want,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4354,It all went smoothly and the price was good,go price good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4355,Easy to use website. Good deal. Excellent recommended garage who fitted the tyres. Very pleased all round.,easy use website,positive,good deal,positive,excellent recommend garage fit tyre,positive,pleased round,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4356,Poor service from fitters,poor service fitter,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4357,Many great price for tyres all in.,many great price tyre,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4358,Very helpful centre that I used for the fitting of my wheels. Very helpful centre that I used for the fitting Had to delay fitting due to loss of locking wheel nuts which was no issue for the garage.,helpful centre use fitting wheel,positive,helpful centre use fitting delay fit loss lock wheel nut issue garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4359,The receptionis at the PTA Tyres place was not very welcoming,receptioni PTA Tyres place welcoming,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4360,Free fitting at a local garage and didn't have to wait as I work shifts I left my car with them and picked it up before they closed. I won't use anyone else now it has to be [REDACTED].com definitely refer my mates two of whom have already used them,free fitting local garage have wait work shift leave car pick close,positive,use have refer mate use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4361,Very friendly and helpful staff at Bar Hill cambridge.,friendly helpful staff Bar Hill cambridge,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4362,"Excellent price, selection of tyres & fitters.",excellent price selection tyre fitter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4363,Easy to use website and really great price,easy use website great price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4364,"Excellent choices, good prices, delivered as stated.",excellent choice good price deliver state,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4365,Good company. Tyres always there. Good prices.,good company,positive,tyre,negative,good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4366,Used you previously and always went ok. This time appointment could not be met and took a week to review-arrange. You did give £30 discount happy days.,use go ok,positive,time appointment meet take week review arrange,negative,give discount happy day,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4367,"Easy, quick, cheap. Not 1 issue",easy quick cheap,positive,issue,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4368,Was easy to order Easy to pay Good price All went easy at garage,easy order Easy pay good price go easy garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,Good price and quick booking time,good price quick booking time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4370,"I will use [REDACTED] again. Quick, easy and great value",use,negative,quick easy great value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4371,very good choice of tyres at a good value.,good choice tyre good value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4372,Easy and great value,easy great value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4373,Good price - good efficient service.,good price good efficient service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4374,Good prices & they use the local garage,good price use local garage,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4375,Excellent service and great value & easy to use!!!,excellent service great value easy use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4376,Price and efficiency,price efficiency,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377,Bought tyre on line and arranged fitting Excellent quick service Thankyou,buy tyre line arrange fitting Excellent quick service Thankyou,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
